segment_id,lat,lon,junction_cluster,junction_id
1285520201747431424,28.62809,77.24669,0,J0
1285520201784623104,28.629,77.2515,1,J1
1285520201784623105,28.62894,77.25158,1,J1
1285520201785442306,28.62825,77.27405,2,J2
1285520201785442308,28.62811,77.27336,3,J3
1285520201805725696,28.62611,77.24714,4,J4
1285520201834692608,28.62971,77.25196,5,J5
1285520201834692609,28.62968,77.2521,5,J5
1285520201835511808,28.6225,77.27725,6,J6
1285520201839214592,28.62812,77.24832,7,J7
1285520201851338752,28.62824,77.24778,8,J8
1285520201860644864,28.62735,77.27388,9,J9
1285520201873326080,28.62361,77.27652,10,J10
1285520201878142976,28.63082,77.27177,11,J11
1285520201890398208,28.63504,77.25269,12,J12
1285520201890398209,28.63504,77.25269,12,J12
1285520201890627584,28.62563,77.27502,13,J13
1285520201902718976,28.62472,77.27563,14,J14
1285520201909567488,28.6281,77.24718,15,J15
1285520201994141696,28.63087,77.25208,16,J16
1285520201994141697,28.63084,77.25221,16,J16
1285520202007379968,28.63224,77.24672,17,J17
1285520202015342592,28.62894,77.27759,18,J18
1285520202032283648,28.63035,77.27713,19,J19
1285520202040180736,28.62839,77.24635,20,J20
1285520202049683456,28.62936,77.27593,21,J21
1285520202053910528,28.62351,77.27659,10,J10
1285520202073505792,28.62822,77.24671,0,J0
1285520202083532800,28.63122,77.27149,22,J22
1285520202109353986,28.62588,77.27313,23,J23
1285520202109353988,28.6266,77.27053,24,J24
1285520202109353990,28.62706,77.27019,25,J25
1285520202109353992,28.62791,77.26979,26,J26
1285520202118299648,28.63052,77.27199,27,J27
1285520202134093824,28.63108,77.27158,22,J22
1285520202150117376,28.62757,77.24688,28,J28
1285520202155458560,28.63056,77.27147,29,J29
1285520202158899200,28.62215,77.27748,30,J30
1285520202166075392,28.62465,77.2755,14,J14
1285520202177839104,28.6256,77.24717,31,J31
1285520202182590464,28.62667,77.24764,32,J32
1285520202213130240,28.62189,77.27733,30,J30
1285520202217324544,28.62749,77.27402,9,J9
1285520202237116416,28.62905,77.25143,1,J1
1285520202237116417,28.629,77.2515,1,J1
1285520202273554432,28.62802,77.24693,0,J0
1285520202274177024,28.63187,77.24715,33,J33
1285520202274242560,28.63618,77.24705,34,J34
1285520202296492034,28.63282,77.27036,35,J35
1285520202296492036,28.6317,77.27109,36,J36
1285520202296492038,28.63165,77.27113,36,J36
1285520202308091904,28.62946,77.25189,5,J5
1285520202312941570,28.62805,77.27074,37,J37
1285520202312941572,28.62807,77.2693,38,J38
1285520202321821696,28.62437,77.27571,39,J39
1285520202321854466,28.62806,77.26815,40,J40
1285520202321854468,28.62807,77.26274,41,J41
1285520202321854470,28.62802,77.26053,42,J42
1285520202338664448,28.63052,77.25207,16,J16
1285520202338664449,28.63052,77.25217,16,J16
1285520202364846080,28.62482,77.27539,14,J14
1285520202373365760,28.6262,77.2743,43,J43
1285520202463117314,28.62822,77.26785,44,J44
1285520202463117316,28.62822,77.26814,40,J40
1285520202483892224,28.62822,77.24671,0,J0
1285520202497097730,28.62593,77.27451,45,J45
1285520202497097732,28.62729,77.27206,46,J46
1285520202501128192,28.63364,77.2529,47,J47
1285520202501128193,28.63364,77.25301,47,J47
1285520202504470528,28.6289,77.2467,48,J48
1285520202518003712,28.62902,77.27752,18,J18
1285520202525605888,28.62807,77.24631,49,J49
1285520202525638656,28.62844,77.25059,50,J50
1285520202537500672,28.62812,77.24917,51,J51
1285520202564075520,28.63493,77.25298,12,J12
1285520202564075521,28.63501,77.25298,12,J12
1285520202575904768,28.62824,77.24708,15,J15
1285520202589732864,28.62846,77.27813,52,J52
1285520202597728256,28.62745,77.24851,53,J53
1285520202602807298,28.62796,77.27068,37,J37
1285520202602807300,28.62775,77.27039,54,J54
1285520202602807302,28.62717,77.27031,25,J25
1285520202602807304,28.62657,77.27183,55,J55
1285520202623385600,28.62819,77.24968,56,J56
1285520202647863296,28.62796,77.2463,49,J49
1285520202648748032,28.63013,77.27681,57,J57
1285520202652975104,28.62831,77.2735,58,J58
1285520202676109312,28.62824,77.24838,7,J7
1285520202689019904,28.62751,77.24715,59,J59
1285520202706059264,28.63063,77.27136,29,J29
1285520202709368832,28.62809,77.24669,0,J0
1285520202740400134,28.63581,77.24714,60,J60
1285520202740400136,28.63552,77.24742,61,J61
1285520202740400138,28.63545,77.24875,62,J62
1285520202740400140,28.63545,77.25186,63,J63
1285520202740400142,28.6354,77.25294,12,J12
1285520202746527746,28.62547,77.24682,64,J64
1285520202746527748,28.62632,77.24669,65,J65
1285520202746560512,28.62741,77.24668,28,J28
1285520202750525442,28.62689,77.24766,32,J32
1285520202750525446,28.62747,77.24829,53,J53
1285520202750525448,28.6279,77.2481,66,J66
1285520202750558208,28.62923,77.27733,18,J18
1285520202756194304,28.63583,77.24729,60,J60
1285520202756227074,28.63562,77.24756,61,J61
1285520202756227076,28.63557,77.25053,67,J67
1285520202756227078,28.63542,77.25241,68,J68
1285520202763698176,28.63062,77.25219,16,J16
1285520202788274178,28.62805,77.2719,69,J69
1285520202788274180,28.62805,77.27121,70,J70
1285520202788274182,28.62805,77.2712,70,J70
1285520202795679744,28.62603,77.27479,71,J71
